Song_title,Artist
Lovin On Me,Jack Harlow
Cruel Summer,Taylor Swift
Greedy,Tate McRae
Paint The Town Red,Doja Cat
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Snooze,SZA
Water,Tyla
Last Night,Morgan Wallen
Fast Car,Luke Combs
Agora Hills,Doja Cat
Thinkin' Bout Me,Morgan Wallen
Lose Control,Teddy Swims
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Lil Boo Thang,Paul Russell
Flowers,Miley Cyrus
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
FTCU,Nicki Minaj
White Horse,Chris Stapleton
Stick Season,Noah Kahan
What Was I Made For?,Billie Eilish
Vampire,Olivia Rodrigo
Need A Favor,Jelly Roll
Dance The Night,Dua Lipa
Fukumean,Gunna
World On Fire,Nate Smith
Houdini,Dua Lipa
Everybody,Nicki Minaj Featuring Lil Uzi Vert
Save Me,Jelly Roll With Lainey Wilson
First Person Shooter,Drake Featuring J. Cole
Used To Be Young,Miley Cyrus
Kill Bill,SZA
Good Good,"Usher, Summer Walker & 21 Savage"
Pretty Little Poison,Warren Zeiders
La Diabla,Xavi
On My Mama,Victoria Monet
Truck Bed,HARDY
My Love Mine All Mine,Mitski
Save Me The Trouble,Dan + Shay
Exes,Tate McRae
I Know ?,Travis Scott
Wild Ones,Jessie Murph & Jelly Roll
Strangers,Kenya Grace
Monaco,Bad Bunny
Surround Sound,JID Featuring 21 Savage & Baby Tate
The Painter,Cody Johnson
Get Him Back!,Olivia Rodrigo
Never Lose Me,Flo Milli
Dial Drunk,Noah Kahan With Post Malone
Where The Wild Things Are,Luke Combs
You Broke My Heart,Drake
IDGAF,Drake Featuring Yeat
Harley Quinn,Fuerza Regida & Marshmello
Burn It Down,Parker McCollum
Bellakeo,Peso Pluma & Anitta
La Victima,Xavi
Feather,Sabrina Carpenter
500lbs,Lil Tecca
Qlona,Karol G & Peso Pluma
I Can Feel It,Kane Brown
Hey Driver,Zach Bryan Featuring The War And Treaty
You're Losing Me (From The Vault),Taylor Swift
Mind On You,George Birge
Can't Catch Me Now,Olivia Rodrigo
Different 'Round Here,Riley Green Featuring Luke Combs
Segun Quien,Maluma & Carin Leon
Man Made A Bar,Morgan Wallen Featuring Eric Church
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Soak City (Do It),310babii
One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp"
Standing Next To You,Jung Kook
23,Chayce Beckham
Perro Negro,Bad Bunny & Feid
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Oklahoma Smokeshow,Zach Bryan
Wondering Why,The Red Clay Strays
Mmhmm,BigXthaPlug
Great Gatsby,Rod Wave
FE!N,Travis Scott Featuring Playboi Carti
Bad Idea Right?,Olivia Rodrigo
Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon"
Can't Have Mine,Dylan Scott
Needle,Nicki Minaj Featuring Drake
Virginia Beach,Drake
Rich Men North Of Richmond,Oliver Anthony Music
Northern Attitude,Noah Kahan With Hozier
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
Lace It,"Juice WRLD, Eminem & benny blanco"
Mi Ex Tenia Razon,Karol G
Run For The Hills,Tate McRae
Slime You Out,Drake Featuring SZA
Better Place,*NSYNC
"Burn, Burn, Burn",Zach Bryan
My Eyes,Travis Scott
Turks & Caicos,Rod Wave Featuring 21 Savage
Tourniquet,Zach Bryan
Y Lloro,Junior H
Murder On The Dancefloor,Sophie Ellis-Bextor
Amargura,Karol G
Wildflowers And Wild Horses,Lainey Wilson
